City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
143,Kumluca,TR,36.3703,30.2869,60.26,81,100,2.73,overcast clouds
144,Maxixe,MZ,-23.8597,35.3472,71.35,84,48,9.44,scattered clouds
145,Souris,CA,49.6172,-100.2612,1.26,90,100,5.23,overcast clouds
146,Urubicha,BO,-15.3833,-62.95,81.27,54,62,2.46,broken clouds
147,Bengkulu,ID,-3.8004,102.2655,80.08,70,93,2.64,overcast clouds
148,Saint George,US,37.1041,-113.5841,48.94,35,0,1.99,clear sky
149,Mubi,NG,10.2676,13.2644,66.96,39,96,2.48,overcast clouds
150,Polunochnoye,RU,60.8697,60.4153,5.52,96,100,4.0,overcast clouds
151,Hovd,MN,48.0056,91.6419,-4.83,80,82,4.5,broken clouds
152,Ust-Nera,RU,64.5667,143.2,-20.51,98,100,8.25,overcast clouds
153,Yarensk,RU,62.1675,49.0916,18.39,97,98,2.89,light snow
154,Hermanus,ZA,-34.4187,19.2345,56.8,83,100,2.73,overcast clouds
155,Coihaique,CL,-45.5752,-72.0662,46.35,61,0,2.3,clear sky
156,Surgut,RU,61.25,73.4167,-0.22,85,0,0.0,clear sky
157,San Patricio,US,28.017,-97.5169,60.66,57,3,10.87,clear sky
158,Amapa,BR,1.0,-52.0,71.35,98,100,2.46,overcast clouds
159,Nanortalik,GL,60.1432,-45.2371,26.91,78,62,32.66,broken clouds
160,Port Blair,IN,11.6667,92.75,82.44,83,75,8.05,broken clouds
161,Port Elizabeth,ZA,-33.918,25.5701,64.09,91,0,5.75,clear sky
162,Deputatskiy,RU,69.3,139.9,-13.97,99,100,3.04,light snow
163,Nago,JP,26.5881,127.9761,68.43,77,100,17.81,overcast clouds
164,Kavaratti,IN,10.5669,72.642,81.63,71,100,3.91,overcast clouds
165,Kedrovyy,RU,56.1667,91.8167,0.01,95,100,5.84,overcast clouds
166,Luwuk,ID,-0.9516,122.7875,85.46,65,100,2.28,overcast clouds
167,Dhari,IN,21.3333,71.0167,64.2,44,0,6.82,clear sky
168,Vaini,TO,-21.2,-175.2,84.36,79,75,11.5,broken clouds
169,Bredasdorp,ZA,-34.5322,20.0403,62.78,81,93,3.74,overcast clouds
170,Pevek,RU,69.7008,170.3133,9.09,91,100,4.47,overcast clouds
171,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,86,4,4.99,clear sky
172,Ghanzi,BW,-21.5667,21.7833,71.62,35,0,6.91,clear sky
173,Zandvoort,NL,52.3749,4.5341,41.95,96,75,3.44,mist
174,Yumen,CN,40.2833,97.2,11.73,66,100,3.06,overcast clouds
175,Port Lincoln,AU,-34.7333,135.8667,65.26,62,2,10.89,clear sky
176,Leningradskiy,RU,69.3833,178.4167,13.14,89,100,10.13,overcast clouds
177,Vestmannaeyjar,IS,63.4427,-20.2734,45.03,78,100,27.51,overcast clouds
178,Pulandian,CN,39.3953,121.9669,22.71,60,72,1.9,broken clouds
179,Flin Flon,CA,54.7682,-101.865,-10.84,92,100,4.41,overcast clouds
180,Shenjiamen,CN,29.9576,122.298,48.81,87,100,20.15,overcast clouds
